age,occupation,education,education-num,marital-status,race,sex
32,Handlers-cleaners,Some-college,10,Divorced,White,Male
35,Craft-repair,HS-grad,9,Never-married,Black,Male
38,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Male
57,Prof-specialty,Prof-school,15,Married-civ-spouse,Asian-Pac-Islander,Male
50,Exec-managerial,HS-grad,9,Married-civ-spouse,White,Male
42,Exec-managerial,Bachelors,13,Never-married,White,Female
56,Sales,Some-college,10,Married-civ-spouse,White,Male
43,Craft-repair,Assoc-acdm,12,Divorced,White,Male
19,Adm-clerical,Some-college,10,Never-married,White,Female
31,Craft-repair,Some-college,10,Divorced,White,Male
18,Farming-fishing,12th,8,Never-married,White,Male
51,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
62,Craft-repair,Bachelors,13,Divorced,White,Male
38,Craft-repair,Assoc-voc,11,Divorced,White,Male
36,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
41,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
49,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
37,Prof-specialty,Assoc-voc,11,Separated,White,Female
50,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Male
32,Exec-managerial,Some-college,10,Married-civ-spouse,White,Male
51,Prof-specialty,Masters,14,Married-civ-spouse,White,Female
42,Prof-specialty,Assoc-voc,11,Married-civ-spouse,Black,Male
19,Adm-clerical,HS-grad,9,Never-married,White,Female
49,Sales,Some-college,10,Married-civ-spouse,White,Male
38,Tech-support,Assoc-voc,11,Separated,White,Female
25,Craft-repair,Some-college,10,Never-married,White,Male
50,Craft-repair,Bachelors,13,Married-civ-spouse,White,Male
66,Prof-specialty,7th-8th,4,Never-married,Black,Male
26,Adm-clerical,Some-college,10,Never-married,White,Female
33,Adm-clerical,7th-8th,4,Married-civ-spouse,White,Male
51,Exec-managerial,HS-grad,9,Divorced,White,Female
30,Other-service,Some-college,10,Married-civ-spouse,White,Female
45,Adm-clerical,HS-grad,9,Divorced,White,Female
38,Exec-managerial,Bachelors,13,Never-married,White,Male
64,Farming-fishing,11th,7,Widowed,White,Female
32,Machine-op-inspct,11th,7,Divorced,White,Female
19,Adm-clerical,HS-grad,9,Never-married,White,Male
43,Craft-repair,Bachelors,13,Married-civ-spouse,White,Male
34,Prof-specialty,Masters,14,Separated,White,Female
53,Craft-repair,10th,6,Divorced,White,Male
48,Transport-moving,10th,6,Married-civ-spouse,White,Male
40,Machine-op-inspct,HS-grad,9,Married-civ-spouse,White,Male
45,Craft-repair,Some-college,10,Married-civ-spouse,Asian-Pac-Islander,Male
53,Transport-moving,Some-college,10,Married-civ-spouse,White,Male
38,Other-service,HS-grad,9,Married-civ-spouse,White,Male
29,Adm-clerical,HS-grad,9,Married-civ-spouse,White,Female
34,Craft-repair,11th,7,Divorced,White,Male
44,Exec-managerial,Bachelors,13,Divorced,White,Male
52,Sales,Bachelors,13,Married-civ-spouse,White,Female
23,Craft-repair,10th,6,Never-married,White,Male
36,Sales,Bachelors,13,Married-civ-spouse,White,Male
32,Tech-support,Assoc-voc,11,Never-married,White,Female
42,Sales,Some-college,10,Divorced,White,Male
22,Prof-specialty,Some-college,10,Never-married,White,Male
17,Sales,11th,7,Never-married,White,Male
