age,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44,Other-service,Black,Female,0,0,40,United-States,<=50K
23,Transport-moving,White,Male,0,0,40,United-States,<=50K
59,Craft-repair,White,Male,0,1887,40,United-States,>50K
30,Sales,White,Male,0,0,40,United-States,<=50K
49,Prof-specialty,White,Male,0,0,50,United-States,>50K
41,Tech-support,White,Female,0,0,25,United-States,>50K
58,Handlers-cleaners,Black,Male,0,0,20,United-States,>50K
26,Protective-serv,White,Male,0,0,40,United-States,<=50K
24,Craft-repair,White,Male,2354,0,40,United-States,<=50K
49,Prof-specialty,White,Male,0,0,45,United-States,>50K
59,Prof-specialty,White,Female,0,0,50,United-States,<=50K
57,Exec-managerial,White,Male,0,0,45,United-States,<=50K
35,Craft-repair,White,Male,0,0,40,United-States,<=50K
35,Prof-specialty,White,Male,0,0,60,United-States,<=50K
47,Sales,White,Male,0,0,40,United-States,>50K
57,Prof-specialty,White,Male,0,0,40,United-States,<=50K
37,Other-service,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
19,Handlers-cleaners,White,Male,0,0,30,United-States,<=50K
24,Sales,White,Male,0,0,20,United-States,<=50K
48,Exec-managerial,White,Male,0,0,60,United-States,<=50K
47,Craft-repair,White,Male,0,0,40,United-States,<=50K
37,Craft-repair,White,Male,0,0,50,United-States,<=50K
41,Exec-managerial,White,Male,27828,0,50,United-States,>50K
73,Farming-fishing,White,Male,0,0,18,United-States,<=50K
56,Adm-clerical,White,Female,4101,0,40,United-States,<=50K
30,Machine-op-inspct,Black,Male,0,0,40,United-States,<=50K
61,Sales,White,Female,0,0,20,United-States,<=50K
34,Craft-repair,White,Female,0,0,40,United-States,<=50K
49,Exec-managerial,White,Male,0,0,70,United-States,>50K
26,Exec-managerial,White,Female,0,0,40,United-States,<=50K
47,Sales,White,Female,0,0,52,United-States,<=50K
49,Protective-serv,White,Male,0,0,40,United-States,>50K
67,Adm-clerical,White,Female,0,0,1,United-States,<=50K
39,Sales,White,Male,0,0,40,Philippines,>50K
51,Machine-op-inspct,White,Male,0,0,40,United-States,>50K
46,Protective-serv,White,Male,0,0,40,United-States,>50K
41,Adm-clerical,White,Male,0,0,40,United-States,<=50K
67,Exec-managerial,White,Male,0,0,55,United-States,<=50K
65,Exec-managerial,White,Female,0,0,40,United-States,<=50K
74,Machine-op-inspct,White,Female,0,0,10,United-States,<=50K
48,Craft-repair,White,Male,7688,0,40,United-States,>50K
31,Prof-specialty,White,Male,0,0,40,United-States,<=50K
25,Sales,White,Female,0,0,40,United-States,<=50K
20,Protective-serv,White,Male,0,0,25,United-States,<=50K
61,Other-service,White,Female,0,0,40,United-States,<=50K
56,Craft-repair,White,Male,0,0,56,United-States,<=50K
30,Adm-clerical,White,Male,0,0,40,United-States,<=50K
38,Sales,White,Male,0,0,60,United-States,<=50K
36,Transport-moving,White,Male,0,0,40,United-States,<=50K
31,Other-service,White,Male,0,0,50,United-States,<=50K
33,Prof-specialty,White,Male,0,0,60,United-States,>50K
46,Protective-serv,White,Male,0,0,70,United-States,>50K
42,Sales,White,Male,0,0,15,United-States,<=50K
20,Machine-op-inspct,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
57,Prof-specialty,White,Male,7298,0,84,United-States,>50K
58,Exec-managerial,White,Male,0,0,40,United-States,<=50K
35,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
62,Other-service,White,Male,7298,0,40,United-States,>50K
41,Sales,White,Male,0,1980,56,United-States,<=50K
43,Adm-clerical,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
40,Craft-repair,White,Male,0,0,50,United-States,>50K
35,Craft-repair,White,Male,0,0,40,United-States,<=50K
39,Exec-managerial,White,Male,0,0,60,United-States,>50K
26,Other-service,White,Male,0,0,15,United-States,<=50K
26,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
58,Farming-fishing,White,Female,0,0,45,Guatemala,<=50K
40,Prof-specialty,White,Male,0,1902,40,United-States,>50K
67,Exec-managerial,White,Male,0,0,20,United-States,<=50K
21,Other-service,White,Female,0,0,40,United-States,<=50K
37,Prof-specialty,White,Male,0,1740,45,United-States,<=50K
65,Craft-repair,White,Female,0,0,25,United-States,<=50K
23,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
21,Craft-repair,White,Male,0,0,40,United-States,<=50K
22,Adm-clerical,Asian-Pac-Islander,Female,0,0,4,South,<=50K
35,Sales,White,Male,10520,0,45,United-States,>50K
60,Craft-repair,White,Male,0,0,40,United-States,<=50K
31,Other-service,White,Male,0,0,40,United-States,<=50K
36,Prof-specialty,White,Male,0,0,60,United-States,>50K
36,Exec-managerial,White,Male,0,0,40,United-States,<=50K
52,Sales,White,Male,0,0,45,United-States,<=50K
20,Other-service,White,Female,0,0,35,United-States,<=50K
34,Tech-support,Asian-Pac-Islander,Male,0,1564,40,India,>50K
39,Farming-fishing,White,Female,0,0,50,United-States,<=50K
30,Tech-support,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
63,Other-service,White,Female,0,0,41,United-States,<=50K
30,Sales,White,Male,0,0,50,United-States,<=50K
21,Other-service,White,Female,0,0,40,United-States,<=50K
22,Other-service,White,Female,0,0,38,United-States,<=50K
37,Craft-repair,White,Male,0,0,40,United-States,>50K
43,Other-service,White,Female,0,0,20,United-States,<=50K
19,Sales,Black,Female,0,0,40,United-States,<=50K
49,Other-service,White,Male,0,0,40,United-States,<=50K
49,Handlers-cleaners,White,Male,0,0,80,United-States,<=50K
28,Machine-op-inspct,Black,Male,0,0,40,United-States,<=50K
39,Tech-support,White,Female,0,0,40,United-States,<=50K
65,Sales,White,Female,0,0,40,United-States,<=50K
64,Priv-house-serv,White,Female,0,0,15,United-States,<=50K
62,Craft-repair,White,Male,0,0,24,United-States,<=50K
35,Prof-specialty,White,Male,0,0,44,United-States,>50K
40,Adm-clerical,White,Female,0,0,30,United-States,<=50K
47,Craft-repair,White,Male,0,0,40,United-States,<=50K
24,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
49,Machine-op-inspct,Black,Female,0,0,35,United-States,<=50K
43,Tech-support,White,Female,0,0,50,United-States,<=50K
45,Other-service,White,Male,0,0,40,United-States,<=50K
19,Machine-op-inspct,White,Male,0,0,20,United-States,<=50K
30,Handlers-cleaners,Asian-Pac-Islander,Male,0,1651,40,Vietnam,<=50K
23,Craft-repair,White,Male,0,0,60,United-States,<=50K
44,Craft-repair,White,Male,3411,0,40,United-States,<=50K
42,Exec-managerial,Asian-Pac-Islander,Male,0,2201,60,India,>50K
52,Prof-specialty,White,Male,0,0,65,United-States,>50K
35,Craft-repair,White,Male,0,0,40,United-States,<=50K
50,Prof-specialty,White,Male,6849,0,40,United-States,<=50K
29,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
32,Prof-specialty,White,Female,0,0,30,United-States,<=50K
23,Other-service,Asian-Pac-Islander,Male,0,0,16,Philippines,<=50K
34,Transport-moving,White,Male,0,0,75,Mexico,>50K
33,Sales,White,Female,0,0,45,United-States,<=50K
40,Adm-clerical,White,Female,0,0,39,United-States,<=50K
24,Sales,White,Male,0,0,50,United-States,<=50K
28,Exec-managerial,White,Male,0,0,40,United-States,<=50K
48,Adm-clerical,White,Female,0,0,48,United-States,<=50K
34,Exec-managerial,White,Male,0,0,50,United-States,<=50K
30,Prof-specialty,Asian-Pac-Islander,Male,0,0,20,India,>50K
39,Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
29,Sales,White,Male,0,0,50,United-States,<=50K
34,Adm-clerical,White,Male,0,0,45,United-States,>50K
32,Other-service,Black,Female,0,0,13,United-States,<=50K
25,Exec-managerial,White,Female,0,0,40,United-States,<=50K
36,Other-service,Black,Female,0,0,40,United-States,<=50K
35,Handlers-cleaners,White,Male,0,0,35,United-States,<=50K
43,Exec-managerial,White,Male,7298,0,40,United-States,>50K
37,Exec-managerial,White,Female,0,0,50,United-States,<=50K
23,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
51,Prof-specialty,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
60,Prof-specialty,White,Male,0,0,50,United-States,<=50K
34,Other-service,White,Male,0,0,50,Jamaica,<=50K
46,Sales,White,Male,0,1887,40,United-States,>50K
42,Machine-op-inspct,White,Male,0,0,40,Italy,<=50K
21,Craft-repair,White,Female,0,0,30,United-States,<=50K
19,Craft-repair,White,Male,0,0,40,United-States,<=50K
26,Adm-clerical,White,Female,0,0,40,United-States,<=50K
51,Adm-clerical,White,Male,0,0,40,United-States,>50K
41,Sales,White,Female,0,0,12,United-States,>50K
33,Machine-op-inspct,Other,Male,0,0,40,Mexico,<=50K
48,Other-service,White,Female,0,0,34,United-States,<=50K
55,Adm-clerical,White,Female,0,0,40,United-States,<=50K
21,Sales,White,Female,0,1762,28,United-States,<=50K
38,Craft-repair,White,Male,0,0,50,United-States,<=50K
45,Adm-clerical,White,Female,0,0,48,United-States,<=50K
47,Other-service,Black,Female,0,0,14,United-States,<=50K
59,Transport-moving,Black,Male,0,0,40,United-States,>50K
19,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
24,Sales,White,Male,0,0,35,United-States,<=50K
52,Transport-moving,White,Male,15024,0,60,Canada,>50K
20,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
44,Other-service,White,Male,0,0,30,United-States,<=50K
24,Sales,White,Male,0,0,40,United-States,<=50K
44,Machine-op-inspct,White,Male,0,0,40,Mexico,<=50K
25,Sales,White,Male,0,1504,37,United-States,<=50K
20,Adm-clerical,White,Male,0,0,60,United-States,<=50K
23,Tech-support,White,Male,0,0,38,United-States,<=50K
25,Craft-repair,White,Male,0,0,80,United-States,<=50K
52,Machine-op-inspct,White,Male,4386,0,40,United-States,>50K
23,Other-service,White,Male,0,0,40,United-States,<=50K
18,Sales,White,Male,0,0,24,United-States,<=50K
28,Sales,White,Male,0,1628,40,United-States,<=50K
53,Tech-support,White,Male,0,1504,35,United-States,<=50K
43,Adm-clerical,White,Female,0,0,40,United-States,<=50K
36,Other-service,White,Male,0,0,40,United-States,<=50K
34,Exec-managerial,White,Male,0,0,50,United-States,>50K
29,Craft-repair,White,Male,0,0,45,United-States,<=50K
60,Craft-repair,White,Male,0,0,12,United-States,<=50K
36,Sales,White,Male,0,0,45,United-States,<=50K
49,Craft-repair,White,Female,0,0,40,United-States,<=50K
19,Other-service,White,Female,0,0,20,United-States,<=50K
31,Sales,White,Male,2829,0,40,United-States,<=50K
37,Exec-managerial,White,Male,0,0,50,United-States,>50K
33,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
62,Other-service,White,Female,0,0,66,United-States,<=50K
20,Sales,White,Male,1055,0,20,United-States,<=50K
35,Craft-repair,White,Male,0,0,40,United-States,<=50K
61,Farming-fishing,White,Female,0,0,82,United-States,<=50K
31,Prof-specialty,White,Female,0,0,40,United-States,<=50K
21,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
30,Prof-specialty,Black,Female,0,0,40,United-States,<=50K
22,Adm-clerical,White,Male,0,0,50,United-States,<=50K
28,Prof-specialty,White,Male,0,0,45,United-States,>50K
20,Sales,White,Female,0,0,40,United-States,<=50K
25,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
21,Other-service,White,Female,0,0,9,United-States,<=50K
43,Sales,White,Male,0,0,40,United-States,>50K
42,Machine-op-inspct,Black,Female,0,0,40,United-States,<=50K
49,Prof-specialty,White,Male,0,0,85,United-States,>50K
68,Protective-serv,White,Male,0,1668,20,United-States,<=50K
24,Sales,White,Male,0,0,49,El-Salvador,<=50K
62,Sales,White,Male,2961,0,30,United-States,<=50K
23,Priv-house-serv,White,Female,0,0,6,United-States,<=50K
60,Craft-repair,Other,Male,0,0,32,United-States,>50K
44,Transport-moving,White,Male,0,0,50,United-States,>50K
29,Sales,White,Male,0,0,50,United-States,>50K
37,Exec-managerial,White,Male,0,0,60,United-States,<=50K
21,Farming-fishing,White,Male,0,0,40,United-States,<=50K
56,Sales,White,Male,0,0,20,Mexico,<=50K
51,Exec-managerial,White,Male,99999,0,50,United-States,>50K
34,Exec-managerial,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
20,Transport-moving,White,Female,0,0,40,United-States,<=50K
70,Exec-managerial,White,Male,0,0,16,United-States,<=50K
51,Handlers-cleaners,White,Female,0,0,40,United-States,<=50K
20,Tech-support,White,Female,0,0,20,United-States,<=50K
33,Priv-house-serv,White,Female,0,0,40,Guatemala,<=50K
48,Adm-clerical,White,Male,0,0,40,United-States,>50K
35,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
32,Sales,White,Male,0,1977,45,United-States,>50K
56,Exec-managerial,White,Female,0,0,50,United-States,<=50K
40,Tech-support,White,Male,0,0,48,United-States,>50K
67,Adm-clerical,White,Male,2414,0,40,United-States,<=50K
32,Prof-specialty,White,Female,0,0,40,United-States,<=50K
28,Tech-support,White,Male,0,0,24,United-States,<=50K
31,Craft-repair,White,Male,0,0,40,United-States,>50K
53,Other-service,White,Female,0,0,40,United-States,<=50K
46,Transport-moving,White,Male,0,0,50,United-States,<=50K
32,Prof-specialty,White,Male,0,0,50,United-States,>50K
47,Sales,White,Male,0,0,40,United-States,<=50K
34,Other-service,White,Male,0,0,40,United-States,<=50K
20,Craft-repair,White,Male,0,0,40,United-States,<=50K
29,Tech-support,White,Male,0,0,40,United-States,>50K
43,Handlers-cleaners,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
34,Other-service,Black,Female,0,0,40,United-States,<=50K
37,Exec-managerial,Other,Male,7298,0,50,Puerto-Rico,>50K
36,Prof-specialty,White,Female,0,0,40,United-States,<=50K
49,Craft-repair,White,Male,0,0,40,United-States,>50K
24,Transport-moving,White,Male,0,1902,40,United-States,>50K
65,Adm-clerical,White,Female,0,0,40,United-States,<=50K
29,Prof-specialty,White,Female,14344,0,40,United-States,>50K
53,Sales,White,Male,0,0,60,United-States,>50K
25,Other-service,White,Female,0,0,10,United-States,<=50K
40,Craft-repair,White,Male,0,0,40,United-States,<=50K
24,Prof-specialty,White,Female,0,0,99,England,<=50K
30,Other-service,White,Female,0,0,40,United-States,<=50K
22,Machine-op-inspct,White,Female,0,0,48,United-States,<=50K
29,Machine-op-inspct,White,Male,0,0,48,United-States,<=50K
46,Prof-specialty,White,Female,0,0,40,United-States,<=50K
21,Other-service,White,Female,0,0,40,United-States,<=50K
52,Exec-managerial,White,Male,0,0,40,United-States,<=50K
51,Sales,White,Male,0,0,40,United-States,<=50K
29,Sales,White,Female,0,0,40,United-States,<=50K
