,age,education,race,sex
0,39,Bachelors,White,Male
1,50,Bachelors,White,Male
2,38,HS-grad,White,Male
3,53,11th,Black,Male
4,28,Bachelors,Black,Female
5,37,Masters,White,Female
6,49,9th,Black,Female
7,52,HS-grad,White,Male
8,31,Masters,White,Female
9,42,Bachelors,White,Male
10,37,Some-college,Black,Male
11,30,Bachelors,Asian-Pac-Islander,Male
12,23,Bachelors,White,Female
13,32,Assoc-acdm,Black,Male
14,40,Assoc-voc,Asian-Pac-Islander,Male
15,34,7th-8th,Amer-Indian-Eskimo,Male
16,25,HS-grad,White,Male
17,32,HS-grad,White,Male
18,38,11th,White,Male
19,43,Masters,White,Female
20,40,Doctorate,White,Male
21,54,HS-grad,Black,Female
22,35,9th,Black,Male
23,43,11th,White,Male
24,59,HS-grad,White,Female
25,56,Bachelors,White,Male
26,19,HS-grad,White,Male
27,54,Some-college,Asian-Pac-Islander,Male
28,39,HS-grad,White,Male
29,49,HS-grad,White,Male
30,23,Assoc-acdm,White,Male
31,20,Some-college,Black,Male
32,45,Bachelors,White,Male
33,30,Some-college,White,Male
34,22,Some-college,Black,Male
35,48,11th,White,Male
36,21,Some-college,White,Male
37,19,HS-grad,White,Female
38,31,Some-college,White,Male
39,48,Assoc-acdm,White,Male
40,31,9th,White,Male
41,53,Bachelors,White,Male
42,24,Bachelors,White,Male
43,49,HS-grad,White,Female
44,25,HS-grad,White,Male
45,57,Bachelors,Black,Male
46,53,HS-grad,White,Male
47,44,Masters,White,Female
48,41,Assoc-voc,White,Male
49,29,Assoc-voc,White,Male
50,25,Some-college,Other,Female
51,18,HS-grad,White,Female
52,47,Prof-school,White,Female
53,50,Bachelors,White,Male
54,47,HS-grad,White,Male
55,43,Some-college,White,Male
56,46,5th-6th,White,Male
57,35,Assoc-voc,White,Male
58,41,HS-grad,White,Male
59,30,HS-grad,White,Male
60,30,Bachelors,White,Male
61,32,7th-8th,White,Male
62,48,HS-grad,White,Male
63,42,Doctorate,White,Male
64,29,Some-college,White,Male
65,36,HS-grad,White,Male
66,28,Some-college,White,Female
67,53,HS-grad,White,Female
68,49,Some-college,White,Male
69,25,Some-college,White,Male
70,19,Some-college,White,Male
71,31,Bachelors,Black,Female
72,29,Bachelors,White,Male
73,23,Some-college,White,Male
74,79,Some-college,White,Male
75,27,HS-grad,White,Male
76,40,Assoc-acdm,White,Male
77,67,10th,White,Male
78,18,11th,White,Female
79,31,7th-8th,White,Male
80,18,HS-grad,White,Male
81,52,Bachelors,White,Male
82,46,HS-grad,White,Female
83,59,HS-grad,White,Male
84,44,HS-grad,White,Female
85,53,HS-grad,White,Female
86,49,HS-grad,White,Male
87,33,Masters,White,Male
88,30,9th,White,Male
89,43,Doctorate,White,Female
90,57,Assoc-voc,White,Male
91,37,Some-college,White,Female
92,28,Some-college,Black,Female
93,30,HS-grad,Asian-Pac-Islander,Female
94,34,Bachelors,White,Male
95,29,Some-college,White,Male
96,48,Doctorate,White,Male
97,37,Some-college,White,Male
98,48,Assoc-acdm,White,Female
99,32,HS-grad,Black,Male
100,76,Masters,White,Male
101,44,Bachelors,White,Male
102,47,Masters,White,Female
103,20,Some-college,White,Female
104,29,HS-grad,White,Male
105,32,HS-grad,White,Male
